audio_id,类型,biz_group,uuid,user_id,member_id,member_id_marked,年龄,性别,唤醒词,asr,备注
4822412_7c8af841_D692.ogg,注册,,,12043,1131949,54962,成人,男,天猫精灵,天猫精灵,
5948602_df76037c_D692.ogg,注册,,,12043,1131949,54962,成人,男,天猫精灵,天猫精灵,
1629918_5784bdf9_9D75.ogg,注册,,,12043,1221251,1221251,成人,男,天猫精灵,天猫精灵,
1639310_61d5243d_9D75.ogg,注册,,,12043,1221251,1221251,成人,男,天猫精灵,天猫精灵,
1759254_d77fef8e_9D75.ogg,注册,,,12043,1221251,1221251,成人,男,你好天天猫,你好天天猫,
1814544_6038b445_9D75.ogg,注册,,,12043,1221251,1221251,成人,男,天猫精灵,天猫精灵,
1949980_359491b5_9D75.ogg,注册,,,12043,1221260,不属于同一个用户,,,,,
2000910_0fafd614_9D75.ogg,注册,,,12043,1221260,不属于同一个用户,,,,,
2443373_308134d0_9D75.ogg,注册,,,12043,1221260,不属于同一个用户,,,,,
2626063_3a673d58_9D75.ogg,注册,,,12043,1221260,不属于同一个用户,,,,,
1443115_3a39bfb5_BB25.ogg,注册,,,12616,2606400,2606400,成人,女,天猫精灵,天猫精灵,
1453496_e4a698fd_BB25.ogg,注册,,,12616,2606400,2606400,成人,女,天猫精灵,天猫精灵,
1527040_df41d424_BB25.ogg,注册,,,12616,2606400,2606400,成人,女,天猫精灵,天猫精灵,
1835030_e429e330_BB25.ogg,注册,,,12616,2606400,2606400,成人,女,天猫精灵,天猫精灵,
0538767_71d37c82_7E3B.ogg,注册,,,12662,1825460,1825460,成人,男,天猫精灵,天猫精灵,
0549988_09c37811_7E3B.ogg,注册,,,12662,1825460,1825460,成人,男,天猫精灵,天猫精灵,
0711418_4e3e80eb_7E3B.ogg,注册,,,12662,1825460,1825460,成人,男,天猫精灵,天猫精灵,
0716509_4d2b7ffc_7E3B.ogg,注册,,,12662,1825460,1825460,成人,男,天猫精灵,天猫精灵,
2012418_afa35e58_7E3B.ogg,注册,,,12662,1892289,不属于同一个用户,,,,,
2021570_a9294e97_7E3B.ogg,注册,,,12662,1892289,不属于同一个用户,,,,,
2109966_894ddae1_7E3B.ogg,注册,,,12662,1892289,不属于同一个用户,,,,,
2128323_ebf1d917_7E3B.ogg,注册,,,12662,1892289,不属于同一个用户,,,,,
0418495_723d70ea_7E3B.ogg,注册,,,12662,2470351,2470351,成人,男,天猫精灵,天猫精灵,
0427949_db28746f_7E3B.ogg,注册,,,12662,2470351,2470351,成人,男,天猫精灵,天猫精灵,
0528950_e8e85914_7E3B.ogg,注册,,,12662,2470351,2470351,成人,男,天猫精灵,天猫精灵,
0649227_e30818c9_7E3B.ogg,注册,,,12662,2470351,2470351,成人,男,天猫精灵,天猫精灵,
4016266_c0295588_F6E4.ogg,注册,,,12675,2403208,2403208,成人,男,天猫精灵,天猫精灵,
4025171_9e032243_F6E4.ogg,注册,,,12675,2403208,2403208,成人,男,天猫精灵,天猫精灵,
4211455_a93172cc_F6E4.ogg,注册,,,12675,2403208,2403208,成人,男,天猫精灵,天猫精灵,
5429594_1220491d_28AA.ogg,注册,,,12675,2403208,2403208,成人,男,天猫精灵,天猫精灵,
1139674_7fe1f47b_28AA.ogg,注册,,,12675,3992262,3992262,成人,女,天猫精灵,天猫精灵,
1158626_53a9b9d8_28AA.ogg,注册,,,12675,3992262,3992262,成人,女,天猫精灵,天猫精灵,
1218495_1a323186_28AA.ogg,注册,,,12675,3992262,3992262,成人,女,天猫精灵,天猫精灵,
1227155_fcfc8685_28AA.ogg,注册,,,12675,3992262,3992262,成人,女,天猫精灵,天猫精灵,
5902724_5ee2e208_6EE5.ogg,注册,,,12696,1459644,1459644,成人,女,天猫精灵,天猫精灵,
5911873_2063934d_6EE5.ogg,注册,,,12696,1459644,1459644,成人,女,天猫精灵,天猫精灵,
0444558_dae5acf7_6EE5.ogg,注册,,,12696,1459644,1459644,成人,女,天猫精灵,天猫精灵,
4751347_837944e1_6EE5.ogg,注册,,,12696,1459644,1459644,成人,女,天猫精灵,天猫精灵,
121951269_9152663C.ogg,注册,,,12734,50026,50026,成人,女,天猫精灵,天猫精灵,
122000911_7301663C.ogg,注册,,,12734,50026,50026,成人,女,天猫精灵,天猫精灵,
122037392_0410663C.ogg,注册,,,12734,50026,50026,成人,女,天猫精灵,天猫精灵,
122049352_8844663C.ogg,注册,,,12734,50026,50026,成人,女,天猫精灵,天猫精灵,
5334479_1cf08e0c_1C25.ogg,注册,,,12734,1059588,1059588,成人,男,天猫精灵,天猫精灵,
5347372_348337ff_1C25.ogg,注册,,,12734,1059588,1059588,成人,男,天猫精灵,天猫精灵,
0904136_554428f7_E7F6.ogg,注册,,,12734,1059588,1059588,成人,男,天猫精灵,灵灵天猫精灵,
0913493_63cb87d2_E7F6.ogg,注册,,,12734,1059588,1059588,成人,男,天猫精灵,天猫精灵,
2904717_b8577e8c_5460.ogg,注册,,,12764,4136646,不属于同一个用户,,,,,
2924219_1123cfa9_5460.ogg,注册,,,12764,4136646,不属于同一个用户,,,,,
2452916_88ba033d_5460.ogg,注册,,,12764,4136646,不属于同一个用户,,,,,
1255343_e8cafccd_5460.ogg,注册,,,12764,4136646,不属于同一个用户,,,,,
3619671_90e88748_56E9.ogg,注册,,,12764,4167193,4167193,成人,女,天猫精灵,天猫精灵,
3628773_b8bd5cf9_56E9.ogg,注册,,,12764,4167193,4167193,成人,女,天猫精灵,天猫精灵,
3635333_44ac47db_56E9.ogg,注册,,,12764,4167193,4167193,成人,女,天猫精,天猫精,
3656148_4ead2f70_56E9.ogg,注册,,,12764,4167193,4167193,成人,女,天猫精灵,天猫精灵,
4308740_2dbc3c83_5FBF.ogg,注册,,,12764,4493777,不属于同一个用户,,,,,
4318195_bb02b0e0_5FBF.ogg,注册,,,12764,4493777,不属于同一个用户,,,,,
3200015_a7fcf14c_5FBF.ogg,注册,,,12764,4497071,4167193,成人,女,天猫精灵,天猫精灵,
3209568_9e606269_5FBF.ogg,注册,,,12764,4497071,4167193,成人,女,天猫精灵,天猫精灵,
3612729_d4c91b2c_5FBF.ogg,注册,,,12764,4497071,4167193,成人,女,天猫精灵,天猫精灵,
3808833_1f526b42_5FBF.ogg,注册,,,12764,4497071,4167193,成人,女,天猫精灵,天猫精灵,
0314741_74df6bb9_541E.ogg,注册,,,12764,4498202,4167193,成人,女,天猫精灵,天猫精灵,
0344245_5eaf9ccb_541E.ogg,注册,,,12764,4498202,4167193,成人,女,天猫精灵,天猫精灵,
5253286_6c73c8be_541E.ogg,注册,,,12764,4498202,4167193,成人,女,天猫精灵,天猫精灵,
5317647_9ee417fd_541E.ogg,注册,,,12764,4498202,4167193,成人,女,天猫精灵,天猫精灵,
0551086_13d7bb32_5460.ogg,注册,,,12764,4498298,4167193,成人,女,天猫精灵,天猫精灵,
0600690_881f6730_5460.ogg,注册,,,12764,4498298,4167193,成人,女,天猫精灵,天猫精灵,
0707125_02a504f8_5460.ogg,注册,,,12764,4498298,4167193,成人,女,天猫精灵,天猫精灵,
4531127_06a8d992_541E.ogg,注册,,,12764,4498298,4167193,成人,女,天猫精灵,天猫精灵,
4350301_627110d6_56E9.ogg,注册,,,12764,4543054,4167193,成人,女,天猫精灵,天猫精灵,
4359349_1d3bcb1b_56E9.ogg,注册,,,12764,4543054,4167193,成人,女,天猫精灵,天猫精灵,
5609298_66535e6c_56E9.ogg,注册,,,12764,4543054,4167193,成人,女,天猫精,天猫精,
5721857_44eed890_56E9.ogg,注册,,,12764,4543054,4167193,成人,女,天猫精灵,天猫精灵,
125803641_63784F93.ogg,注册,,,19090,81951,81951,成人,男,天猫精灵,天猫精灵,
125822304_73684F93.ogg,注册,,,19090,81951,81951,成人,男,天猫精灵,天猫精灵,
125924787_85474F93.ogg,注册,,,19090,81951,81951,成人,男,天猫精灵,天猫精灵,
125940542_08934F93.ogg,注册,,,19090,81951,81951,成人,男,天猫精灵,天猫精灵,
235115829_4946E09A.ogg,注册,,,21208,16660,16660,成人,男,天猫精灵,天猫精灵,
235125170_1378E09A.ogg,注册,,,21208,16660,16660,成人,男,天猫精灵,天猫精灵,
235352972_9261E09A.ogg,注册,,,21208,16660,16660,成人,男,天猫精灵,天猫精灵,
235406132_4050E09A.ogg,注册,,,21208,16660,16660,成人,男,天猫精灵,天猫精灵我要买东,
131129119_0402E09A.ogg,注册,,,21208,29453,16660,成人,男,天猫精灵,天猫精灵,
131139663_3654E09A.ogg,注册,,,21208,29453,16660,成人,男,天猫精灵,天猫精灵,
131202366_7526E09A.ogg,注册,,,21208,29453,16660,成人,男,天猫精灵,天猫精灵,
131220077_2172E09A.ogg,注册,,,21208,29453,16660,成人,男,天猫精灵,天猫精灵,
183531695_8602B91E.ogg,注册,,,35403,28516,不属于同一个用户,,,,,
183540480_8752B91E.ogg,注册,,,35403,28516,不属于同一个用户,,,,,
184823582_2998B91E.ogg,注册,,,35403,28516,不属于同一个用户,,,,,
184854575_4496B91E.ogg,注册,,,35403,28516,不属于同一个用户,,,,,
200536853_4132B91E.ogg,注册,,,35403,28681,28681,儿童,男,天猫精灵,天猫精灵,
200545224_4056B91E.ogg,注册,,,35403,28681,28681,儿童,男,天猫精灵,天猫精灵,
201008319_8356B91E.ogg,注册,,,35403,28681,28681,儿童,男,天猫精灵,天猫精灵,
201453049_2980B91E.ogg,注册,,,35403,28681,28681,儿童,男,天猫精灵,天猫精灵,
154735159_9045692D.ogg,注册,,,36260,29629,29629,成人,女,天猫精灵,天猫精灵,
154755398_9516692D.ogg,注册,,,36260,29629,29629,成人,女,天猫精灵,天猫精灵,
154821895_2665692D.ogg,注册,,,36260,29629,29629,成人,女,天猫精灵,天猫精灵,
155020623_0836692D.ogg,注册,,,36260,29629,29629,成人,女,天猫精灵,天猫精灵,
154855601_0689692D.ogg,注册,,,36260,29632,29632,儿童,男,天猫精灵,天猫精灵,
154904244_4544692D.ogg,注册,,,36260,29632,29632,儿童,男,天猫精灵,天猫精灵,
154928043_8798692D.ogg,注册,,,36260,29632,29632,儿童,男,天猫精灵,天猫精灵,
154946505_4952692D.ogg,注册,,,36260,29632,29632,儿童,男,天猫精灵,天猫精灵,
2220559_d61ec401_692D.ogg,注册,,,36260,1005998,1005998,成人,女,天猫精灵,天猫精灵,
2230332_77bf1def_692D.ogg,注册,,,36260,1005998,1005998,成人,女,天猫精灵,天猫精灵,
3849474_1976c203_692D.ogg,注册,,,36260,1005998,1005998,成人,女,天猫精灵,天猫精灵我是谁,
3900714_c7c92d0a_692D.ogg,注册,,,36260,1005998,1005998,成人,女,天猫精灵,天猫精灵我是谁,
5427851_96700101_5284.ogg,注册,,,37960,1429983,不属于同一个用户,,,,,
5440046_14234753_5284.ogg,注册,,,37960,1429983,不属于同一个用户,,,,,
5513053_60974ac3_5284.ogg,注册,,,37960,1429983,不属于同一个用户,,,,,
5704209_4325d0d0_5284.ogg,注册,,,37960,1429983,不属于同一个用户,,,,,
144206485_24346ADB.ogg,注册,,,38151,31867,31867,成人,男,天猫精灵,天猫精灵,
144216465_97246ADB.ogg,注册,,,38151,31867,31867,成人,男,天猫精灵,天猫精灵,
144532424_13116ADB.ogg,注册,,,38151,31867,31867,成人,男,你好天猫,你好天猫,
145345541_46986ADB.ogg,注册,,,38151,31867,31867,成人,男,你好天猫,你好天猫在吗,
3319237_9118e83a_E2B4.ogg,注册,,,38814,1336780,1336780,成人,男,天猫精灵,天猫精灵,
3331439_2079403d_E2B4.ogg,注册,,,38814,1336780,1336780,成人,男,天猫精灵,天猫精灵,
3348224_4236558e_E2B4.ogg,注册,,,38814,1336780,1336780,成人,男,天猫精灵,天猫精灵,
3359313_7b22ece8_E2B4.ogg,注册,,,38814,1336780,1336780,成人,男,天猫精,天猫精,
2727884_1e27dcd0_CE4B.ogg,注册,,,39612,1410744,1410744,成人,男,天猫精灵,天猫精灵,
2737148_8acb8150_CE4B.ogg,注册,,,39612,1410744,1410744,成人,男,天猫精灵,天猫精灵,
2744444_890cc941_CE4B.ogg,注册,,,39612,1410744,1410744,成人,男,天猫精,天猫精,
2752485_b1394e83_CE4B.ogg,注册,,,39612,1410744,1410744,成人,男,天猫精灵,天猫精灵,
163241024_49638F13.ogg,注册,,,42143,37510,37510,成人,男,天猫精灵,天猫精灵,
163250659_65688F13.ogg,注册,,,42143,37510,37510,成人,男,天猫精灵,天猫精灵,
163529498_90828F13.ogg,注册,,,42143,37510,37510,成人,男,天猫精灵,天猫精灵,
164232775_26268F13.ogg,注册,,,42143,37510,37510,成人,男,天猫精灵,天猫精灵,
212100080_80438F13.ogg,注册,,,42143,45920,45920,成人,男,天猫精灵,天猫精灵,
212109203_86508F13.ogg,注册,,,42143,45920,45920,成人,男,天猫精灵,天猫精灵,
212204605_07298F13.ogg,注册,,,42143,45920,45920,成人,男,天猫精灵,天猫精灵,
142159989_36118F13.ogg,注册,,,42143,45920,45920,成人,男,天猫精灵,天猫精灵,
2618667_63763e98_8F13.ogg,注册,,,42143,1422600,不属于同一个用户,,,,,
2627267_a02d3ebc_8F13.ogg,注册,,,42143,1422600,不属于同一个用户,,,,,
2650650_8ec85759_8F13.ogg,注册,,,42143,1422600,不属于同一个用户,,,,,
2730928_120c5eb4_8F13.ogg,注册,,,42143,1422600,不属于同一个用户,,,,,
3324960_52b95b71_8F13.ogg,注册,,,42143,1422633,不属于同一个用户,,,,,
3345522_4cd2eafc_8F13.ogg,注册,,,42143,1422633,不属于同一个用户,,,,,
3406849_b91bb1dc_8F13.ogg,注册,,,42143,1422633,不属于同一个用户,,,,,
3416312_8f1178d2_8F13.ogg,注册,,,42143,1422633,不属于同一个用户,,,,,
4329731_342ceafc_7E3B.ogg,注册,,,42623,924260,924260,成人,女,天猫精灵,天猫精灵,
4338712_ff69de79_7E3B.ogg,注册,,,42623,924260,924260,成人,女,天猫精灵,天猫精灵,
4649374_bfc3e0e7_7E3B.ogg,注册,,,42623,924260,924260,成人,女,天猫精灵,天猫精灵小钱袋,
4755630_ff798551_7E3B.ogg,注册,,,42623,924260,924260,成人,女,天猫精灵,天猫精灵,
225938461_51409E16.ogg,注册,,,43732,696394,696394,成人,男,天猫精灵,天猫精灵,
225948000_63249E16.ogg,注册,,,43732,696394,696394,成人,男,天猫精灵,天猫精灵,
230007343_20829E16.ogg,注册,,,43732,696394,696394,成人,男,天猫精灵,天猫精灵天猫精灵,
230026791_94009E16.ogg,注册,,,43732,696394,696394,成人,男,天猫精灵,天猫精灵,
1946620_3777405f_2A61.ogg,注册,,,44679,1607286,不属于同一个用户,,,,,
1957017_7bbae47b_2A61.ogg,注册,,,44679,1607286,不属于同一个用户,,,,,
2008738_c2f947d9_2A61.ogg,注册,,,44679,1607286,不属于同一个用户,,,,,
4606077_cb011e9c_1CD9.ogg,注册,,,45168,2647504,2647504,成人,女,天猫精灵,天猫精灵,
4615557_caf83473_1CD9.ogg,注册,,,45168,2647504,2647504,成人,女,天猫精灵,天猫精灵,
4634622_9b150e64_1CD9.ogg,注册,,,45168,2647504,2647504,成人,女,天猫精灵,天猫精灵,
4726366_f7e90f5f_1CD9.ogg,注册,,,45168,2647504,2647504,成人,女,天猫精灵,天猫精灵,
1702217_0a6a489b_9929.ogg,注册,,,45689,4279552,4279552,成人,女,天猫精灵,天猫精灵,
1711818_8968da76_9929.ogg,注册,,,45689,4279552,4279552,成人,女,天猫精灵,天猫精灵,
1728864_c6b14b41_9929.ogg,注册,,,45689,4279552,4279552,成人,女,天猫精灵,天猫精灵,
2031192_4d286563_712B.ogg,注册,,,45689,4279552,4279552,成人,女,天猫精灵,天猫精灵,
3923492_1793f00c_DB59.ogg,注册,,,45689,4302995,4279552,成人,女,天猫精灵,天猫精灵,
3952617_7a46dee9_DB59.ogg,注册,,,45689,4302995,4279552,成人,女,天猫精灵,天猫精灵,
4056378_43db4968_DB59.ogg,注册,,,45689,4302995,4279552,成人,女,天猫精灵,天猫精灵,
4813106_38c0a970_B1DB.ogg,注册,,,45689,4302995,4279552,成人,女,天猫精灵,天猫精灵,
4928970_b7e6d8cb_DB59.ogg,注册,,,45689,4303191,4279552,成人,女,天猫精灵,天猫精灵,
4938562_011b13a0_DB59.ogg,注册,,,45689,4303191,4279552,成人,女,天猫精灵,天猫精灵,
5111028_b282cf2d_DB59.ogg,注册,,,45689,4303191,4279552,成人,女,天猫精灵,天猫精灵,
0046852_2c4c149b_DB59.ogg,注册,,,45689,4303191,4279552,成人,女,天猫精灵,天猫精灵,
182745881_3596425C.ogg,注册,,,50186,43528,不属于同一个用户,,,,,
182755234_9855425C.ogg,注册,,,50186,43528,不属于同一个用户,,,,,
182822494_8271425C.ogg,注册,,,50186,43528,不属于同一个用户,,,,,
182915556_0821425C.ogg,注册,,,50186,43528,不属于同一个用户,,,,,
122657671_1986425C.ogg,注册,,,50186,44073,44073,成人,男,天猫精灵,天猫精灵,
122706301_5808425C.ogg,注册,,,50186,44073,44073,成人,男,天猫精灵,天猫精灵,
122727239_7729425C.ogg,注册,,,50186,44073,44073,成人,男,天猫精灵,天猫精灵,
122917193_8703425C.ogg,注册,,,50186,44073,44073,成人,男,天猫精灵,天猫精灵,
5712532_010842b8_425C.ogg,注册,,,50186,4541886,4541886,成人,男,天猫精灵,天猫精灵,
5731131_1cacf57e_425C.ogg,注册,,,50186,4541886,4541886,成人,男,天猫精灵,天猫精灵,
0138919_85392c3c_425C.ogg,注册,,,50186,4541886,4541886,成人,男,天猫精灵,天猫精灵,
1552588_52fba1fe_425C.ogg,注册,,,50186,4541886,4541886,成人,男,天猫精灵,天猫精灵,
0829433_cbb79c44_425C.ogg,注册,,,50186,4541961,4541961,成人,男,天猫精灵,天猫精灵,
0838631_8da124c6_425C.ogg,注册,,,50186,4541961,4541961,成人,男,天猫精灵,天猫精灵,
0925917_e35e64b3_425C.ogg,注册,,,50186,4541961,4541961,成人,男,天猫精,天猫精,
1055718_f10866e7_425C.ogg,注册,,,50186,4541961,4541961,成人,男,天猫精灵,天猫精灵,
182225155_85639675.ogg,注册,,,50985,44287,44287,成人,男,天猫精灵,天猫精灵,
182235577_61149675.ogg,注册,,,50985,44287,44287,成人,男,天猫精灵,天猫精灵,
182647021_89289675.ogg,注册,,,50985,44287,44287,成人,男,天猫精灵,天猫精灵,
182721006_76169675.ogg,注册,,,50985,44287,44287,成人,男,天猫精灵,天猫精灵,语义正确
2720022_c81791cf_24A6.ogg,注册,,,54960,1262485,不属于同一个用户,,,,,
2728812_979e991a_24A6.ogg,注册,,,54960,1262485,不属于同一个用户,,,,,
3049201_fff18d03_24A6.ogg,注册,,,54960,1262485,不属于同一个用户,,,,,
5215495_9c1d432e_24A6.ogg,注册,,,54960,1262485,不属于同一个用户,,,,,
3123478_63ef4a9a_24A6.ogg,注册,,,54960,1262496,1262496,成人,男,天猫精灵,天猫精灵,
3132379_1ef565ad_24A6.ogg,注册,,,54960,1262496,1262496,成人,男,天猫精灵,天猫精灵,
5828346_18935a0a_24A6.ogg,注册,,,54960,1262496,1262496,成人,男,天猫精灵,天猫精灵,
5952991_ecb5e8c9_24A6.ogg,注册,,,54960,1262496,1262496,成人,男,天猫精灵,天猫精灵,
5406244_a205fc3b_E0A1.ogg,注册,,,59962,1166237,1166237,成人,男,天猫精灵,天猫精灵,
5417806_a00ba67d_E0A1.ogg,注册,,,59962,1166237,1166237,成人,男,天猫精灵,天猫精灵,
5938001_ba70de8a_E0A1.ogg,注册,,,59962,1166237,1166237,成人,男,天猫精灵,天猫精灵,
0001279_9ffb3dd9_E0A1.ogg,注册,,,59962,1166237,1166237,成人,男,天猫精灵,天猫精灵,
113049689_0124DD00.ogg,注册,,,60487,59104,59104,成人,女,天猫精灵,天猫精灵,
113058717_0853DD00.ogg,注册,,,60487,59104,59104,成人,女,天猫精灵,天猫精灵,
113203556_6094DD00.ogg,注册,,,60487,59104,59104,成人,女,天猫精灵,天猫精灵,
113300645_6843DD00.ogg,注册,,,60487,59104,59104,成人,女,天猫精灵,天猫精灵,
164711730_2159F63C.ogg,注册,,,103301,470484,470484,成人,男,天猫精灵,天猫精灵,
164720987_5625F63C.ogg,注册,,,103301,470484,470484,成人,男,天猫精灵,天猫精灵,
164825177_4705F63C.ogg,注册,,,103301,470484,470484,成人,男,天猫精灵,天猫精灵,
164843107_1741F63C.ogg,注册,,,103301,470484,470484,成人,男,天猫精灵,天猫精灵,
1432750_ebb5cb88_DF3A.ogg,注册,,,106374,845590,845590,成人,男,天猫精灵,天猫精灵,
1442200_78d86629_DF3A.ogg,注册,,,106374,845590,845590,成人,男,天猫精灵,天猫精灵,
1804054_8c7b1d57_DF3A.ogg,注册,,,106374,845590,845590,成人,男,天猫精灵,天猫精灵我想吃肯德基的全家桶,
1920034_bdff6aa8_DF3A.ogg,注册,,,106374,845590,845590,成人,男,天猫精灵,天猫精灵我想买高露洁的牙刷,
020209234_417994F0.ogg,注册,,,107634,78474,78474,成人,男,天猫精灵,天猫精灵,
020218556_890094F0.ogg,注册,,,107634,78474,78474,成人,男,天猫精灵,天猫精灵,
020605125_501294F0.ogg,注册,,,107634,78474,78474,成人,男,天猫精灵,天猫精灵,
021143483_073594F0.ogg,注册,,,107634,78474,78474,成人,男,天猫精灵,天猫精灵,
0738755_faaa996a_94F0.ogg,注册,,,107634,1365509,78474,成人,男,天猫精灵,天猫精灵,
0748561_387650db_94F0.ogg,注册,,,107634,1365509,78474,成人,男,天猫精灵,天猫精灵,
0921297_48f152f7_94F0.ogg,注册,,,107634,1365509,78474,成人,男,天猫精灵,天猫精灵,
1020582_db5e296e_94F0.ogg,注册,,,107634,1365509,78474,成人,男,天猫精灵,天猫精灵,
193609551_04764FBA.ogg,注册,,,109273,180728,180728,成人,男,天猫精灵,天猫精灵,
193618780_20434FBA.ogg,注册,,,109273,180728,180728,成人,男,天猫精灵,天猫精灵,
200711223_31134FBA.ogg,注册,,,109273,180728,180728,成人,男,天猫精灵,天猫精灵,
200737087_77434FBA.ogg,注册,,,109273,180728,180728,成人,男,天猫精灵,天猫精灵,
2806994_2949d852_FD57.ogg,注册,,,109273,1418148,不属于同一个用户,,,,,
2826350_1c62a151_FD57.ogg,注册,,,109273,1418148,不属于同一个用户,,,,,
2840644_43c154d0_FD57.ogg,注册,,,109273,1418148,不属于同一个用户,,,,,
3532795_bed85c7f_FD57.ogg,注册,,,109273,1418148,不属于同一个用户,,,,,
1346207_e738e33c_4C65.ogg,注册,,,111379,914145,914145,成人,男,天猫精灵,天猫精灵,
1355474_c54a31b9_4C65.ogg,注册,,,111379,914145,914145,成人,男,天猫精灵,天猫精灵,
1922676_27535663_4C65.ogg,注册,,,111379,914145,914145,成人,男,天猫精灵,天猫精灵把空调开一下,
2724052_4f3abb3e_4C65.ogg,注册,,,111379,914145,914145,成人,男,天猫精灵,天猫精灵空调温度调到二十五度,
5650631_34c8c5b5_4C65.ogg,注册,,,111379,924468,924468,儿童,女,天猫精灵,天猫精灵,
5659666_f4752e24_4C65.ogg,注册,,,111379,924468,924468,儿童,女,天猫精灵,天猫精灵,
0328773_a984949c_4C65.ogg,注册,,,111379,924468,924468,儿童,女,天猫精灵,天猫精灵我是谁,
0405815_4b4ccb70_4C65.ogg,注册,,,111379,924468,924468,儿童,女,天猫精灵,天猫精灵好好睡觉,
4741383_e1e82012_4C65.ogg,注册,,,111379,925282,925282,儿童,男,天猫精灵,天猫精灵,
4750143_86725c09_4C65.ogg,注册,,,111379,925282,925282,儿童,男,天猫精灵,天猫精灵,
5047369_a76964f2_4C65.ogg,注册,,,111379,925282,925282,儿童,男,天猫精灵,天猫精灵我是谁,
5102469_ed0a3261_4C65.ogg,注册,,,111379,925282,925282,儿童,男,天猫精灵,天猫精灵我是谁,
2805954_ed8646c9_9DE3.ogg,注册,,,112198,3220249,3220249,成人,男,天猫精灵,天猫精灵,
2815680_5eff9a68_9DE3.ogg,注册,,,112198,3220249,3220249,成人,男,天猫精灵,天猫精灵,
3038834_ba322876_9DE3.ogg,注册,,,112198,3220249,3220249,成人,男,天猫精灵,天猫精灵,
3122604_8c9ce488_9DE3.ogg,注册,,,112198,3220249,3220249,成人,男,天猫精灵,天猫精灵,
3857544_ef6c708c_9DE3.ogg,注册,,,112198,3443430,3220249,成人,男,天猫精灵,天猫精灵,
3907584_e553fb63_9DE3.ogg,注册,,,112198,3443430,3220249,成人,男,天猫精灵,天猫精灵,
4034637_d94d7178_9DE3.ogg,注册,,,112198,3443430,3220249,成人,男,天猫精灵,天猫精灵,
4059633_c533fe71_9DE3.ogg,注册,,,112198,3443430,3220249,成人,男,天猫精灵,天猫精灵,
145334615_22638048.ogg,注册,,,120722,159511,159511,成人,男,天猫精灵,天猫精灵,
145343801_14078048.ogg,注册,,,120722,159511,159511,成人,男,天猫精灵,天猫精灵,
145554784_62608048.ogg,注册,,,120722,159511,159511,成人,男,天猫精灵,天猫精灵,
